Gene1,Gene2,Wilcoxon_Stat,p_raw,p_adj,Significant
ADC ,Agmatinase ,-3.5909357368585746,0.000329492877477093,0.0008237321936927325,True
ADC ,HDC ,-2.6549712202679574,0.00793151750760668,0.013219195846011134,True
ADC ,ODC ,2.3150937514240058,0.020607801921573722,0.029439717030819604,True
ADC ,TDC ,-1.957336484524822,0.050307920675021094,0.055897689638912326,False
Agmatinase ,HDC ,-0.792593923901217,0.42801444993475524,0.42801444993475524,False
Agmatinase ,ODC ,5.5093784241370996,3.60103004156435e-08,1.8005150207821748e-07,True
Agmatinase ,TDC ,4.119492076726811,3.797084803300443e-05,0.00012656949344334813,True
HDC ,ODC ,3.0784512366693835,0.0020807958044996985,0.004161591608999397,True
HDC ,TDC ,2.0850192779016594,0.03706755067388706,0.04633443834235883,True
ODC ,TDC ,-9.802059514414038,1.1031312364729509e-22,1.1031312364729508e-21,True
